Time,Kappa_L1,Alpha_L1,Gamma_L1,Fx_L1,Fy_L1,Fz_L1,Mx_L1,Mz_L1
        0.045, -0.00091343204258, 0.196430504322, 0.141663461924, -69.8824234009, -114.476997375, 5092.69726562, -3.39688110352, 3.73275589943
        0.046, -0.000920388614759, 0.196375370026, 0.141560271382, -70.234413147, -115.889198303, 5092.73388672, -3.38322019577, 3.79229426384
        0.047, -0.00092753052013, 0.196321457624, 0.141457885504, -70.6147994995, -117.282722473, 5092.77246094, -3.36972546577, 3.85102391243
        0.048, -0.000934714858886, 0.196268633008, 0.14135633409, -71.0207672119, -118.657569885,     5092.8125, -3.35639715195,  3.9089474678
        0.049, -0.000941829988733, 0.196216762066, 0.141255602241, -71.4482955933, -120.013549805, 5092.85400391, -3.3432366848, 3.96606087685
         0.05, -0.000948798842728, 0.196165785193, 0.141155734658, -71.892791748, -121.350402832, 5092.89697266, -3.3302462101, 4.02235651016
        0.051, -0.000955579220317, 0.196115612984, 0.141056731343, -72.3495864868, -122.66784668, 5092.94140625, -3.31742858887, 4.07782649994
        0.052, -0.000962161633652, 0.196066245437, 0.140958607197, -72.8144226074, -123.965629578, 5092.98730469, -3.30478572845, 4.13246440887
        0.053, -0.00096856476739, 0.19601765275, 0.140861406922, -73.2837677002, -125.243621826, 5093.03417969, -3.29231977463, 4.18626689911
        0.054, -0.00097482977435, 0.195969864726, 0.14076513052, -73.7550201416, -126.501785278, 5093.08251953, -3.28003048897, 4.23923492432
        0.055, -0.000981013989076, 0.195922896266, 0.140669777989, -74.2266311646, -127.740242004, 5093.13183594, -3.26791763306, 4.29137468338
        0.056, -0.000987184466794, 0.195876777172, 0.140575364232, -74.6980819702, -128.959243774, 5093.18212891, -3.25597929955, 4.34269666672
        0.057, -0.000993411405943, 0.195831537247, 0.140481874347, -75.1698303223, -130.159179688, 5093.23339844, -3.24421215057, 4.39321660995
        0.058, -0.000999763142318, 0.195787206292, 0.140389293432, -75.6431503296, -131.340530396, 5093.28564453, -3.23261237144, 4.44295406342
        0.059, -0.00100630172528, 0.195743814111, 0.140297621489, -76.1199493408, -132.503860474, 5093.33837891, -3.22117519379, 4.49193143845
         0.06, -0.00101307954174, 0.195701360703, 0.140206813812, -76.6025924683, -133.649795532, 5093.39257812, -3.20989561081,  4.5401725769
        0.061, -0.00102013698779, 0.195659860969, 0.140116870403, -77.0936584473, -134.779006958, 5093.44726562, -3.19876742363, 4.58770275116
        0.062, -0.00102750188671, 0.195619300008, 0.140027761459, -77.5957641602, -135.89213562, 5093.50244141, -3.18778586388, 4.63454771042
        0.063, -0.0010351894889, 0.19557967782, 0.139939457178, -78.1114120483, -136.989822388, 5093.55859375, -3.17694497108, 4.68073225021
        0.064, -0.00104320328683, 0.195540949702, 0.139851942658, -78.6428222656, -138.072647095, 5093.61572266, -3.16623997688, 4.72627830505
        0.065, -0.00105153641198, 0.195503100753, 0.139765188098, -79.1918716431, -139.141159058, 5093.67285156, -3.15566587448, 4.77120828629
        0.066, -0.00106017361395, 0.195466086268, 0.139679178596, -79.7599868774, -140.195831299, 5093.73095703, -3.14521932602, 4.81553983688
        0.067, -0.00106909347232, 0.195429876447, 0.139593914151, -80.3481445312, -141.237075806, 5093.79003906, -3.13489627838, 4.85929012299
        0.068, -0.00107827060856, 0.195394426584, 0.139509350061, -80.9568939209, -142.265213013, 5093.84960938, -3.12469387054, 4.90247249603
        0.069, -0.00108767743222, 0.195359691978, 0.139425501227, -81.5863494873, -143.280563354, 5093.90966797, -3.11460995674, 4.94509935379
         0.07, -0.00109728635289, 0.195325657725, 0.139342352748, -82.2362518311, -144.283309937, 5093.97070312, -3.10464262962, 4.98717975616
        0.071, -0.00110707106069, 0.195292264223, 0.139259904623, -82.9060516357, -145.273666382, 5094.03222656, -3.09479022026, 5.02872228622
        0.072, -0.00111700734124, 0.195259511471, 0.139178141952, -83.5949630737, -146.251754761, 5094.09423828, -3.08505177498, 5.06973314285
        0.073, -0.00112707447261, 0.195227354765, 0.139097079635, -84.3020248413, -147.217712402, 5094.15771484, -3.0754263401, 5.11021900177
        0.074, -0.00113725487608, 0.195195794106, 0.139016717672, -85.0261993408, -148.171630859, 5094.22167969, -3.0659134388, 5.15018415451
        0.075, -0.00114753493108, 0.19516479969, 0.138937056065, -85.7663955688, -149.113601685, 5094.28613281, -3.05651187897, 5.18963336945
        0.076, -0.00115790404379, 0.195134371519, 0.13885807991, -86.5215530396, -150.043701172, 5094.35205078, -3.0472214222, 5.22857141495
        0.077, -0.00116835453082, 0.195104509592, 0.138779819012, -87.2906494141, -150.962051392, 5094.41894531, -3.03804111481, 5.26700353622
        0.078, -0.00117888138629, 0.195075199008, 0.138702243567, -88.0727310181, -151.868728638, 5094.48632812, -3.02897071838, 5.30493450165
        0.079, -0.00118948111776, 0.195046439767, 0.138625383377, -88.8669586182, -152.76385498, 5094.55517578, -3.02000927925, 5.34236907959
         0.08, -0.0012001512805, 0.195018231869, 0.138549208641, -89.6725769043, -153.647537231, 5094.62548828, -3.01115584373, 5.37931346893
        0.081, -0.00121089024469, 0.194990560412, 0.138473749161, -90.4889221191, -154.51991272, 5094.69677734, -3.00240945816, 5.41577339172
        0.082, -0.0012216961477,  0.1949634552, 0.138398990035, -91.3154067993, -155.381118774, 5094.76953125, -2.99376916885, 5.45175504684
        0.083, -0.00123256677762, 0.19493688643, 0.138324931264, -92.151512146, -156.231277466, 5094.84326172, -2.98523402214, 5.48726463318
        0.084, -0.00124349910766, 0.194910869002, 0.138251572847, -92.9967803955, -157.070556641, 5094.91894531, -2.97680282593, 5.52230834961
        0.085, -0.00125448941253, 0.194885388017, 0.138178914785, -93.8507614136, -157.899078369, 5094.99609375, -2.96847462654, 5.55689334869
        0.086, -0.00126553291921, 0.194860458374, 0.138106957078, -94.7130279541, -158.716995239, 5095.07470703, -2.96024823189, 5.59102582932
        0.087, -0.0012766236905, 0.194836050272, 0.138035684824, -95.583152771, -159.52444458, 5095.15478516, -2.95212244987, 5.62471151352
