Time,Kappa_L1,Alpha_L1,Gamma_L1,Fx_L1,Fy_L1,Fz_L1,Mx_L1,Mz_L1
       0.0105, 0.00787167530507, 0.222516864538, 0.157304123044, -123.789100647, -248.739776611, 5737.60595703, -8.41460227966, 7.18729162216
        0.011, 0.00801227614284, 0.222945600748, 0.15797033906, -104.704322815, -249.296920776, 5730.47753906, -8.22812080383, 7.17873191833
       0.0115, 0.00813309289515, 0.223326295614, 0.158650115132, -86.2673568726, -249.854263306, 5721.01367188, -8.05200958252, 7.17563533783
        0.012, 0.00823237933218, 0.223654195666, 0.159341990948, -68.9754486084, -250.444580078, 5709.13232422, -7.85748958588,  7.1725935936
       0.0125, 0.00830913707614, 0.223924264312, 0.160044357181, -52.8964500427, -251.050033569, 5696.50097656, -7.6518034935, 7.16363525391
        0.013, 0.00836169533432, 0.224139809608, 0.160755574703, -38.0445518494, -251.648925781, 5681.33740234, -7.46424913406, 7.16203689575
       0.0135, 0.00838885083795, 0.224292129278, 0.161473974586, -24.8054924011, -252.289428711, 5665.84423828, -7.25568151474, 7.15594673157
        0.014, 0.00838934164494, 0.224386513233, 0.162197723985, -13.0081586838, -252.884963989, 5650.18945312, -7.08117103577, 7.15363311768
       0.0145, 0.0083619216457, 0.224424660206, 0.16292527318, -2.49296975136, -253.491989136, 5634.39697266, -6.89067411423, 7.15332937241
        0.015, 0.00830608978868, 0.224407717586, 0.163655057549, 6.78283119202, -254.057342529, 5619.46289062, -6.71410322189, 7.15465736389
       0.0155, 0.00822113640606, 0.224342375994, 0.164385601878, 14.8806018829, -254.564376831, 5605.10302734, -6.5531578064, 7.16465854645
        0.016, 0.00810736045241, 0.22423119843, 0.16511566937,  22.160358429, -255.061355591, 5593.15478516, -6.38189125061, 7.16803789139
       0.0165, 0.00796500779688, 0.224086135626, 0.165844172239, 28.9197292328, -255.479003906, 5581.87548828, -6.25048494339, 7.18094682693
        0.017, 0.00779505539685, 0.223907709122, 0.166570290923, 35.0928688049, -255.880493164, 5572.62548828, -6.11691188812, 7.19238996506
       0.0175, 0.00759887741879, 0.223705112934, 0.167293220758, 41.0373306274, -256.213348389, 5565.55859375, -6.01809215546, 7.20093870163
        0.018, 0.00737822148949, 0.223486423492, 0.16801251471, 47.0384140015, -256.473754883, 5559.24755859, -5.93894863129, 7.21734619141
       0.0185, 0.0071355313994, 0.223252058029, 0.16872780025, 53.1317863464, -256.702301025, 5554.68066406, -5.86414480209,  7.2264251709
        0.019, 0.00687298318371, 0.223009392619, 0.169438734651, 59.3583106995, -256.828460693, 5550.62548828, -5.8430314064, 7.23961544037
       0.0195, 0.00659360038117, 0.222758367658, 0.170145153999, 65.9408111572, -256.936767578, 5547.78173828, -5.81768751144, 7.24938297272
         0.02, 0.00630001816899, 0.22250379622, 0.17084684968, 72.9044189453, -256.988464355, 5544.18701172, -5.8439002037, 7.25401592255
       0.0205, 0.00599535135552, 0.222240671515, 0.171543687582, 79.9730834961, -256.981384277, 5540.30419922, -5.89862585068, 7.26470136642
        0.021, 0.00568255223334, 0.221969291568, 0.172235280275, 87.2244491577, -256.959197998, 5536.38525391, -5.96490430832, 7.26347064972
       0.0215, 0.00536429928616, 0.221690326929, 0.172921404243, 94.5499725342, -256.863067627, 5530.44091797, -6.08168077469, 7.26790475845
        0.022, 0.00504353875294, 0.221395373344, 0.173601612449, 101.674102783, -256.762084961, 5523.61767578, -6.19034099579, 7.26909065247
       0.0225, 0.00472221057862, 0.221084490418, 0.174275279045,  108.38608551, -256.603942871, 5515.05419922, -6.33591032028, 7.26441764832
