Time,Ay,Bk_Stat,GearStat,Pitch,Roll,Roll_E,Roll_L1,Roll_L2,Roll_R1,Roll_R2,Rot_L1,Rot_L2,Rot_R1,Rot_R2,Steer_SW,Vx,VxTarget,Vxz_Fwd,Xo,Xpreview,X_Design,X_L1,X_L2,X_R1,X_R2,X_Target,Yaw,Yaw_L1,Yaw_L2,Yaw_R1,Yaw_R2,Yo,Ypreview,Y_Design,Y_L1,Y_L2,Y_R1,Y_R2,Y_Target,Zcg_SM,Zo,Z_L1,Z_L2,Z_R1,Z_R2
0.5, -0.192226131065, 0, 6, 1.983331120387, -0.3233100086908, -0.3235038096116, 0.6725528733297, 1.502302233005, -1.335939707876, -1.634269831686, 7.432872391333, 7.429228056177, 7.400080870779, 7.398705458942, -6.033661266655, 99.83673682679, 100, 99.87155919845, 98.98711940731, 114.9803194401, 99.10984685996, 99.38765170538, 97.40881697698, 98.60776049971, 96.62656898431, 99.10984685996, -31.78300748882, -31.90338569748, -32.06426667395, -32.22326417628, -31.56698250727, -56.29091936578, -66.19776612421, -56.07396475851, -55.66649803542, -54.43748861833, -56.92439997295, -55.69974432738, -56.07396475851, 45.17179539532, 44.75670682879, 45.08463151216, 45.14557833417, 45.08669719785, 45.14771547858
0.525, -0.1797434097091, 0, 6, 1.981904549536, -0.3147311627743, -0.3149195497596, 0.6828534416824, 1.495687707111, -1.325574978411, -1.639233110236, 7.803667536462, 7.799919894786, 7.769869804008, 7.768451515865, -5.55727536173, 99.83311838097, 100, 99.86787903339, 99.5779583352, 115.5591093071, 99.7129130117, 99.97919957935, 98.00186692667, 99.19781757514, 97.21809702796, 99.7129130117, -31.85228665031, -31.94936253999, -32.13292069517, -32.26761005792, -31.63428355885, -56.653675702, -66.57993065241, -56.41511324232, -56.02975902556, -54.79837186969, -57.28674093549, -56.05968283334, -56.41511324232, 45.15348737982, 44.73842716666, 45.0662951174, 45.12731245938, 45.0683937379, 45.12942604473
0.55, -0.1668271747626, 0, 6, 1.982179255292, -0.3040153630945, -0.304197386331, 0.6941086366197, 1.48896202031, -1.312509674897, -1.641932491243, 8.174397824209, 8.170555224047, 8.13970013893, 8.138244007721, -5.095766290408, 99.82994743932, 100, 99.86473798439, 100.168277912, 116.1386458148, 100.3159128324, 100.5701492932, 98.59416111623, 99.78743695744, 97.80903422335, 100.3159128324, -31.9141683045, -31.98936001823, -32.1935423954, -32.30575067791, -31.69438628634, -57.01720874307, -66.96080832675, -56.75623627649, -56.39375871794, -55.16025112963, -57.64992157158, -56.4207185433, -56.75623627649, 45.13520632599, 44.72014021382, 45.04791970721, 45.10907410478, 45.05004075262, 45.1111554763
0.575, -0.1539205558801, 0, 6, 1.984013777734, -0.2917962560084, -0.291971286862, 0.7058349764509, 1.482253702968, -1.297589052524, -1.642568100348, 8.545069986694, 8.541140183356, 8.509568967825, 8.508079221019, -4.647422451721, 99.82718127977, 100, 99.86209146713, 100.7581119958, 116.7188462972, 100.9188533021, 101.1605436219, 99.1857568285, 100.3766462255, 98.39942184584, 100.9188533021, -31.96936718873, -32.0237700066, -32.24687481345, -32.33814761033, -31.74805620862, -57.38146855493, -67.34054903228, -57.09732232452, -56.75844906924, -55.52305272699, -58.01388414936, -56.78276848659, -57.09732232452, 45.11692591467, 44.70182252278, 45.02948730306, 45.09082875918, 45.03162625688, 45.09287810911
0.6, -0.1413453768077, 0, 6, 1.987068609873, -0.2787727097468, -0.2789404440354, 0.717853294139, 1.475693347681, -1.281936706832, -1.641707871069, 8.915690556174, 8.911680984914, 8.879473551739, 8.877953799568, -4.210672145355, 99.82478888467, 100, 99.85988089392, 101.3474957931, 117.2996340235, 101.5217461964, 101.7504257068, 99.77671112716, 100.9654745992, 98.98930177354, 101.5217461964, -32.01855778892, -32.05293818453, -32.29372601668, -32.3652702563, -31.79593397095, -57.74640554854, -67.71928993823, -57.4383767972, -57.12378203633, -55.8867040651, -58.37857052644, -57.145750908, -57.4383767972, 45.09861932302, 44.68345412232, 45.01099687379, 45.07254648766, 45.01315256195, 45.07457144734
0.625, -0.1292317552539, 0, 6, 1.990765741903, -0.2655707024617, -0.2657310886043, 0.7302767750157, 1.469399627876, -1.266607274294, -1.640020499948, 9.286265670251, 9.282183533822, 9.249411456749, 9.247864830031, -3.78415640642, 99.82275218594, 100, 99.85805267382, 101.9364659276, 117.8809424022, 102.1245969044, 102.3398382141, 100.3670791605, 101.5539523183, 99.57871537096, 102.1245969044, -32.06234788731, -32.07725088418, -32.33488369212, -32.38766665475, -31.83855868284, -58.1119711497, -68.09714950788, -57.77940725599, -57.48971009421, -56.25113522759, -58.74392351299, -57.50958739061, -57.77940725599, 45.08026572941, 44.66502582901, 44.99246435522, 45.05420415445, 44.99463723772, 45.05621657459
0.65, -0.11765819299, 0, 6, 1.994326765961, -0.2526449186067, -0.2527980450001, 0.7431804310147, 1.463563833114, -1.252331839963, -1.638072555008, 9.656800742791, 9.652653116267, 9.61938067116, 9.617809955082, -3.366809917043, 99.82105467541, 100, 99.85655865367, 102.5250604354, 118.4627195633, 102.7274122169, 102.9288226656, 100.9569129921, 102.1421101484, 100.1677029361, 102.7274122169, -32.1012528037, -32.0970437555, -32.37104112289, -32.40578836713, -31.87637500301, -58.47811748317, -68.47422079491, -58.12042205346, -57.85618544695, -56.61627969998, -59.10988741989, -57.87420409498, -58.12042205346, 45.06185309817, 44.64654126251, 44.97391080144, 45.03578547933, 44.97610157564, 45.03779799625
0.675, -0.106712933995, 0, 6, 1.996939359086, -0.2402439472145, -0.2403899393172, 0.7565592362185, 1.458700103007, -1.239470622961, -1.636391165148, 10.02730024959, 10.02309425124, 9.989379635698, 9.987787477683, -2.957923318892, 99.81967650393, 100, 99.85534369184, 103.1133177646, 119.0449318683, 103.3301992391, 103.5174189332, 101.5462609503, 102.7299791375, 100.7563034805, 103.3301992391, -32.13567609385, -32.11267819078, -32.40281891831, -32.42005430306, -31.90967150274, -58.84479664747, -68.85056626955, -58.46142971868, -58.22315978949, -56.98207501907, -59.47640810377, -58.23953265229, -58.46142971868, 45.04337859817, 44.62801391879, 44.95535776222, 45.01728779478, 44.95756568307, 45.01931015446
0.7, -0.09637901816892, 0, 6, 1.998040785367, -0.2284284039709, -0.228567369139, 0.7703762663823, 1.455270045134, -1.228086177044, -1.635553734942, 10.39776754227, 10.39351052578, 10.35940719377, 10.35779624208, -2.557165706885, 99.81860645518, 100, 99.85436517069, 103.7012748278, 119.6275653046, 103.932963615, 104.1056646864, 102.1351670856, 103.317590337, 101.3445544173, 103.932963615, -32.165902229, -32.12457171924, -32.43074718571, -32.43090400496, -31.93855565792, -59.21196000421, -69.22621602332, -58.80243795362, -58.5905845361, -57.34846314761, -59.84343304839, -58.60551071945, -58.80243795362, 45.02485010047, 44.6094629741, 44.93682605387, 44.99872872954, 44.93904791684, 45.00076560887
0.725, -0.08655473841826, 0, 6, 1.997456681739, -0.2171322468434, -0.2172642626301, 0.7845840724394, 1.453461526455, -1.217805923926, -1.635919473852, 10.76820504989, 10.7639044492, 10.72946225098, 10.72783450197, -2.164482358181, 99.81784069344, 100, 99.85359992799, 104.2889657537, 120.2106202125, 104.535709466, 104.69359544, 102.7236713068, 103.9049739069, 101.9324911279, 104.535709466, -32.19212685233, -32.13337838101, -32.45518197749, -32.43940906413, -31.96309064122, -59.57955844146, -69.60117653594, -59.14345371896, -58.95841166609, -57.71538967597, -60.21091135489, -58.97208101209, -59.14345371896, 45.00628604192, 44.59091036405, 44.91833538373, 44.98013823904, 44.92056540636, 44.98218963281
