Time,Kappa_L1,Alpha_L1,Gamma_L1,Fx_L1,Fy_L1,Fz_L1,Mx_L1,Mz_L1
        0.013, -0.00292453216389, 0.198832631111, 0.145314231515, -63.649684906, -59.9892425537, 5092.16845703, -3.92297768593, 1.51581478119
        0.014, -0.00274234940298, 0.198705017567, 0.145129337907, -71.1034393311, -63.1209373474, 5092.17285156, -3.89425468445, 1.65073573589
        0.015, -0.00253597693518, 0.198579192162, 0.144946843386, -77.4503707886, -66.1865234375, 5092.18212891,  -3.866096735, 1.78276538849
        0.016, -0.00231188512407, 0.198455005884, 0.14476673305, -82.6425247192, -69.1871871948,  5092.1953125, -3.83849334717, 1.91192996502
        0.017, -0.00207651988603, 0.198332354426, 0.144588977098, -86.6613235474, -72.1240921021,  5092.2109375, -3.81143474579, 2.03825974464
        0.018, -0.00183615589049, 0.198211163282, 0.144413605332, -89.5159759521, -74.9984359741, 5092.22900391, -3.78491139412, 2.16178917885
        0.019, -0.00159676175099, 0.198091372848, 0.144240573049, -91.2414245605, -77.8113861084, 5092.24804688, -3.75891399384, 2.28255772591
         0.02, -0.00136388116516, 0.197972983122, 0.144069910049, -91.8958206177, -80.5641479492, 5092.26806641, -3.73343300819, 2.40060925484
        0.021, -0.00114253186621, 0.197856009007, 0.143901586533, -91.5576019287, -83.2579193115, 5092.28857422, -3.70845937729, 2.51599216461
        0.022, -0.000937123084441, 0.197740495205, 0.143735647202, -90.3223114014, -85.8939208984, 5092.30859375, -3.6839838028, 2.62875914574
        0.023, -0.000751392508391, 0.197626516223, 0.143572062254, -88.2992858887, -88.4733657837,   5092.328125, -3.65999722481, 2.73896718025
        0.024, -0.000588362920098, 0.197514161468, 0.143410861492, -85.6081314087, -90.9974899292, 5092.34667969, -3.63649058342, 2.84667682648
        0.025, -0.00045031865011, 0.197403535247, 0.143252030015, -82.375328064, -93.4675292969, 5092.36425781, -3.61345434189, 2.95195245743
        0.026, -0.000338800658938, 0.197294712067, 0.143095567822, -78.7307662964, -95.884727478, 5092.38085938, -3.59087967873, 3.05486154556
        0.027, -0.000254619517364, 0.197187840939, 0.142941474915, -74.8045349121, -98.2503128052, 5092.39599609, -3.56875705719, 3.15547418594
        0.028, -0.00019788503414, 0.197083026171, 0.14278973639, -70.7238464355, -100.565513611, 5092.41064453, -3.54707694054,  3.2538626194
        0.029, -0.000168050304637, 0.19698035717, 0.142640337348, -66.6102905273, -102.831558228, 5092.42431641, -3.52583026886, 3.35010027885
         0.03, -0.000163968652487, 0.196879953146, 0.142493247986, -62.5773200989, -105.049659729,     5092.4375, -3.50500774384, 3.44426107407
        0.031, -0.000183961048606, 0.196781903505, 0.142348453403, -58.728187561, -107.220985413, 5092.45068359, -3.4845995903, 3.53641891479
        0.032, -0.000225891941227, 0.196686282754, 0.142205923796, -55.1541862488, -109.346717834, 5092.46435547, -3.46459698677, 3.62664580345
        0.033, -0.000287250819383, 0.196593150496, 0.142065614462, -51.9333305359, -111.427970886, 5092.47802734, -3.44499063492,  3.7150118351
        0.034, -0.000365237443475, 0.196502566338, 0.141927495599, -49.1294174194, -113.465858459, 5092.49316406, -3.42577147484, 3.80158424377
        0.035, -0.000456848414615, 0.196414574981, 0.141791507602, -46.7915115356, -115.461425781, 5092.50976562, -3.40693044662, 3.88642644882
