Time,Station,VxTarget
         17.8, 25.7244682312, 28.6392364502
           18, 27.3379116058, 29.4940891266
         18.2, 29.0021972656, 30.3405952454
         18.4, 30.7090778351, 31.1848602295
         18.6, 32.4664878845, 32.0405883789
         18.8, 34.2685623169, 32.8796730042
           19, 36.1184387207, 33.7381248474
         19.2, 38.0154304504, 34.5750656128
         19.4, 39.9586410522, 35.4323997498
         19.6,  41.950012207, 36.2701377869
         19.8, 43.9872360229, 37.1262779236
           20, 46.0724983215, 37.9648513794
         20.2,  48.208568573, 38.8202705383
         20.4, 50.3938293457,  39.663772583
         20.6, 52.6222076416, 40.5150413513
         20.8, 54.8974075317, 41.3608131409
           21, 57.2199211121, 42.2085800171
         21.2, 59.5885467529, 43.0587997437
         21.4, 62.0046348572, 43.9029006958
         21.6, 64.4672164917, 44.7534942627
         21.8, 66.9770050049, 45.5990333557
           22, 69.5337600708, 46.4456710815
         22.2, 72.1373596191, 47.2966003418
         22.4,  74.788230896, 48.1408119202
         22.6, 77.4859695435, 48.9878463745
         22.8, 80.2306900024, 49.8378410339
           23, 83.0226135254, 50.6831359863
         23.2, 85.8614425659, 51.5295524597
         23.4, 88.7472686768, 52.3780975342
         23.6,  91.680229187, 53.2262458801
         23.8, 94.6623001099, 54.0722427368
           24, 97.6928939819,  54.920249939
         24.2, 100.767349243, 55.7685394287
         24.4, 103.889457703, 56.6172599792
         24.6, 107.058395386, 57.4630508423
         24.8,  110.27381897, 58.3096618652
           25, 113.535682678, 59.1568336487
         25.2, 116.844078064, 60.0043792725
         25.4, 120.199127197, 60.8521728516
         25.6, 123.600967407, 61.6985397339
         25.8, 127.049705505, 62.5445480347
           26, 130.545425415, 63.3909111023
         26.2, 134.088180542, 64.2375335693
         26.4, 137.678009033, 65.0843429565
         26.6, 141.314849854, 65.9312515259
         26.8, 144.998703003, 66.7782211304
           27, 148.729598999, 67.6251983643
         27.2, 152.507553101, 68.4721679688
         27.4, 156.332611084, 69.3191223145
         27.6,  160.20475769, 70.1660461426
         27.8, 164.124023438, 71.0129241943
           28, 168.090408325, 71.8597717285
         28.2, 172.103927612, 72.7065887451
         28.4,  176.16456604, 73.5533752441
         28.6, 180.272338867,  74.400138855
         28.8, 184.427230835, 75.2469024658
           29, 188.629257202, 76.0936737061
         29.2, 192.878448486, 76.9404678345
         29.4, 197.174804688, 77.7873077393
         29.6, 201.518341064, 78.6342163086
         29.8,   205.9090271, 79.4812088013
           30, 210.346557617, 79.9513702393
