Time,Kappa_L1,Alpha_L1,Gamma_L1,Fx_L1,Fy_L1,Fz_L1,Mx_L1,Mz_L1
        0.056, -0.00209928909317, 0.195061013103, 0.139399543405, -58.7093963623, -149.054138184, 5093.90332031, -3.08733391762, 5.32728052139
        0.057, -0.00212219217792, 0.19501940906, 0.139300689101, -63.2636260986, -150.317367554, 5093.90917969, -3.07501649857, 5.38263320923
        0.058, -0.00212960201316, 0.194979056716, 0.139203071594, -67.7137756348, -151.554397583, 5093.91796875, -3.06293201447, 5.43684959412
        0.059, -0.00212222686969, 0.194939821959, 0.139106675982, -71.9991455078, -152.765640259, 5093.93066406, -3.05107712746, 5.48992919922
         0.06, -0.00210100505501, 0.194901570678, 0.139011457562, -76.0648040771, -153.951507568, 5093.94628906, -3.03944754601, 5.54187440872
        0.061, -0.00206707813777, 0.194864198565, 0.138917416334, -79.8623046875, -155.112411499, 5093.96630859, -3.02804017067, 5.59268951416
        0.062, -0.0020217616111, 0.194827586412, 0.138824522495, -83.3502349854, -156.248779297, 5093.98925781, -3.01685094833, 5.64237928391
        0.063, -0.00196651439182, 0.19479162991, 0.138732761145, -86.4946365356, -157.360992432,   5094.015625, -3.00587654114, 5.69095230103
        0.064, -0.00190290552564, 0.194756254554, 0.138642132282, -89.2692718506, -158.449493408, 5094.04541016, -2.99511289597, 5.73841810226
        0.065, -0.00183258217294, 0.194721400738, 0.138552591205, -91.6557388306, -159.514678955,   5094.078125, -2.98455667496, 5.78478908539
        0.066, -0.00175723654684, 0.194686979055, 0.138464152813, -93.6434249878, -160.557006836, 5094.11376953, -2.97420406342, 5.83007955551
        0.067, -0.00167857401539, 0.194652959704, 0.138376787305, -95.2293548584, -161.576873779, 5094.15185547, -2.96405148506,  5.8743057251
        0.068, -0.00159828236792, 0.194619327784, 0.138290509582, -96.4178848267, -162.574737549, 5094.19238281, -2.95409536362, 5.91748714447
        0.069, -0.00151800247841, 0.194586038589, 0.13820527494, -97.2203063965, -163.551025391, 5094.23486328, -2.94433140755, 5.95964336395
         0.07, -0.0014393015299, 0.194553092122, 0.13812109828, -97.6543197632, -164.506210327, 5094.27880859, -2.93475651741, 6.00079774857
        0.071, -0.00136364856735, 0.194520503283, 0.138037964702, -97.7434387207, -165.440719604, 5094.32421875, -2.92536640167, 6.04097414017
        0.072, -0.00129239249509, 0.194488272071, 0.137955874205, -97.5163040161, -166.355010986, 5094.37109375, -2.91615772247,  6.0801987648
        0.073, -0.00122674403246, 0.194456443191, 0.137874811888, -97.0059356689, -167.249572754, 5094.41845703, -2.9071264267, 6.11849880219
        0.074, -0.00116776011419, 0.194425031543, 0.13779476285, -96.2489700317, -168.124832153, 5094.46679688, -2.89826869965, 6.15590238571
        0.075, -0.00111633201595, 0.194394081831, 0.137715727091, -95.284828186, -168.981292725,   5094.515625, -2.88958096504, 6.19244003296
        0.076, -0.0010731772054, 0.194363638759, 0.137637704611, -94.1549072266, -169.819396973, 5094.56445312, -2.88105916977, 6.22814226151
        0.077, -0.00103883387055, 0.19433376193, 0.137560680509, -92.9017410278, -170.639602661, 5094.61376953, -2.87269973755, 6.26303958893
        0.078, -0.00101366033778, 0.19430449605, 0.137484639883, -91.5681838989, -171.442398071, 5094.66259766, -2.86449885368, 6.29716396332
